id,cp_id,nama,teks_elemen,urutan
ELM-TEATER-A-02,CP-TEATER-A,Merefleksikan (Reflecting),Mengenali pengalaman dan emosi selama proses berseni teater serta menceritakan sebuah karya dengan kosakata sehari-hari.,2
ELM-TEATER-A-03,CP-TEATER-A,Berpikir dan Bekerja Artistik (Thinking and Working Artistically),Mengenal jenis-jenis properti/alat bantu yang dapat mendukung cerita/permainan peran.,3
ELM-TEATER-A-04,CP-TEATER-A,Menciptakan (Creating),"Mengeksplorasi beragam peran mengenai tokoh di sekitar atau rekaan, dan memainkan sebuah lakon pertunjukan.",4
ELM-TEATER-A-05,CP-TEATER-A,Berdampak (Impacting),Memainkan gerak dan lagu sesuai arahan dari pendidik.,5
ELM-TEATER-B-01,CP-TEATER-B,Mengalami (Experiencing),"Mengenal teknik dasar akting (pemeranan) melalui proses meniru (mimesis), mengenal gerak tubuh, suara/vokal sesuai tokoh/peran atau perilaku objek sekitar.",1
ELM-TEATER-B-02,CP-TEATER-B,Merefleksikan (Reflecting),Mengenali lingkungan sekitarnya dan pengalaman dalam bermain teater.,2
ELM-TEATER-B-03,CP-TEATER-B,Berpikir dan Bekerja Artistik (Thinking and Working Artistically),Menggunakan properti yang sesuai dengan tokoh yang diperankan.,3
ELM-TEATER-B-04,CP-TEATER-B,Menciptakan (Creating),"Mengamati berbagai peran, mengenal tokoh di sekitar, dan memainkan sebuah lakon dalam cerita.",4
ELM-TEATER-B-05,CP-TEATER-B,Berdampak (Impacting),Mengenal bentuk lakon dalam bermain teater.,5
ELM-TEATER-C-01,CP-TEATER-C,Mengalami (Experiencing),"Melakukan permainan peran berkelompok, seperti improvisasi untuk melatih aksi dan reaksi dalam mengelaborasi cerita atau tokoh dan melakukan pengenalan karakter melalui pengamatan kebiasaan tokoh yang diperankan.",1
ELM-TEATER-C-02,CP-TEATER-C,Merefleksikan (Reflecting),"Menceritakan pendapatnya tentang sebuah cerita sederhana (penokohan, perwatakan).",2
ELM-TEATER-C-03,CP-TEATER-C,Berpikir dan Bekerja Artistik (Thinking and Working Artistically),Mengidentifikasi properti sederhana berdasarkan cerita yang akan dimainkan.,3
ELM-TEATER-C-04,CP-TEATER-C,Menciptakan (Creating),Mengenal dan memainkan ragam peran dari cerita sederhana berdasarkan hasil pengamatan.,4
ELM-TEATER-C-05,CP-TEATER-C,Berdampak (Impacting),"Memerankan lakon secara individu maupun berkelompok berdasarkan minat, pengamatan, dan pengalaman.",5
ELM-PJOK-A-01,CP-PJOK-A,Terampil Bergerak,Mempraktikkan keterampilan gerak fundamental dan menerapkannya dalam berbagai situasi gerak yang berbeda; mengeksplorasi berbagai strategi gerak; dan mengeksplorasi berbagai konsep gerak serta menyimpulkan efektivitasnya.,1
ELM-PJOK-A-02,CP-PJOK-A,Belajar Melalui Gerak,Menaati peraturan untuk menumbuhkan fair play di dalam berbagai aktivitas jasmani; menerapkan strategi kolaborasi ketika berpartisipasi dalam aktivitas jasmani.,2
ELM-PJOK-A-03,CP-PJOK-A,Bergaya Hidup Aktif,Berpartisipasi di dalam berbagai aktivitas jasmani dan mengidentifikasi manfaatnya.,3
ELM-PJOK-A-04,CP-PJOK-A,Memilih Hidup yang Menyehatkan,Mengenali gaya hidup aktif dan sehat; mengenali manfaat komponen makanan bergizi seimbang; serta mengenali situasi dan potensi yang berisiko terhadap kesehatan dan keselamatan serta strategi mencari bantuan kepada orang dewasa terpercaya.,4
ELM-PJOK-B-01,CP-PJOK-B,Terampil Bergerak,Menghaluskan keterampilan gerak fundamental dan menerapkannya dalam situasi gerak yang baru; menyesuaikan strategi gerak untuk mendapatkan capaian keterampilan gerak; dan memperagakan berbagai konsep gerak yang dapat diterapkan dalam rangkaian gerak.,1
ELM-PJOK-B-02,CP-PJOK-B,Belajar Melalui Gerak,Menerapkan strategi gerak sederhana dan memecahkan masalah gerak; menerapkan peraturan untuk menumbuhkan fair play di dalam berbagai aktivitas jasmani; dan berpartisipasi secara positif dalam kelompok atau tim di dalam berbagai aktivitas jasmani.,2
ELM-PJOK-B-03,CP-PJOK-B,Bergaya Hidup Aktif,Berpartisipasi dalam berbagai aktivitas jasmani dan mengenali faktor-faktor yang menyebabkan aktivitas jasmani menyenangkan.,3
ELM-PJOK-B-04,CP-PJOK-B,Memilih Hidup yang Menyehatkan,Mengenali risiko kesehatan akibat gaya hidup dan berbagai aktivitas jasmani untuk pencegahannya; mengidentifikasi pola makan sehat dan bergizi seimbang sesuai rekomendasi kesehatan untuk menunjang aktivitas sehari-hari; dan mempraktikkan penanganan cedera ringan sesuai pemahaman tentang prinsip pertolongan pertama.,4
ELM-PJOK-C-01,CP-PJOK-C,Terampil Bergerak,Menyesuaikan keterampilan gerak melintasi berbagai situasi gerak; mentransfer strategi gerak yang sudah dikuasai ke dalam berbagai situasi gerak yang berbeda; dan menginvestigasi berbagai konsep gerak yang dapat diterapkan untuk meningkatkan capaian keterampilan gerak,1
ELM-PJOK-C-02,CP-PJOK-C,Belajar Melalui Gerak,Menguji efektivitas penerapan strategi gerak dalam berbagai situasi gerak; merancang peraturan alternatif dan modifikasi permainan untuk mendukung fair play dan partisipasi inklusif; dan menjalankan berbagai peran untuk mencapai keberhasilan kelompok atau tim di dalam berbagai aktivitas jasmani.,2
ELM-PJOK-C-03,CP-PJOK-C,Bergaya Hidup Aktif,Berpartisipasi dalam aktivitas jasmani dan menjelaskan pengaruh aktivitas jasmani yang teratur terhadap kesehatan; mengidentifikasi rekomendasi aktivitas jasmani serta pencegahan perilaku sedenter.,3
ELM-PJOK-C-04,CP-PJOK-C,Memilih Hidup yang Menyehatkan,"Mengidentifikasi dan menghubungkan antara gaya hidup, risiko kesehatan, dan aktivitas pencegahannya sesuai rekomendasi otoritas kesehatan; menjelaskan pola makan sehat untuk menunjang aktivitas jasmani berdasarkan informasi kandungan gizi pada makanan; dan mempraktikkan penanganan cedera sedang sesuai pemahaman tentang prinsip pertolongan pertama.",4
ELM-KKA-C-01,CP-KKA-C,Berpikir Komputasional,"Memahami permasalahan sederhana dalam kehidupan sehari-hari, menerapkan pemecahan masalah secara sistematis, serta menuliskan instruksi logis dan terstruktur menggunakan sekumpulan kosakata atau simbol.",1
ELM-KKA-C-02,CP-KKA-C,Literasi Digital,"Memahami konsep dasar, manfaat, dan dampak teknologi digital, memahami sistem komputer tingkat pradasar, menerapkan pengamanan informasi pribadi dalam komunikasi daring, memanfaatkan internet, dan memproduksi serta mendiseminasi konten digital dalam bentuk teks dan gambar.",2
ELM-KKA-C-03,CP-KKA-C,Literasi dan Etika Kecerdasan Artifisial,"Memahami konsep KA sederhana, manfaat dan dampak KA pada kehidupan sehari-hari, prinsip bahwa KA dikembangkan untuk meningkatkan kesejahteraan manusia dan tidak boleh merugikan manusia, mengetahui perbedaan manusia dan komputer dalam melakukan penginderaan, dan mengetahui perbedaan antara mesin cerdas dan mesin non-cerdas. Memahami etika dasar penggunaan KA seperti empati dan tidak menyakiti orang lain.",3
ELM-KKA-C-04,CP-KKA-C,Pemanfaatan dan Pengembangan Kecerdasan Artifisial,"Menyimulasikan secara sederhana kerja KA saat mengenali pola, mengklasifikasi benda konkret berdasarkan sifatnya, dan mengetahui bagaimana prediksi sistem KA dipengaruhi input benda konkret.",4
