kode_tampil,elemen_id,tingkat_kelas,teks_tujuan,semester,halaman_lampiran
TP-TARI-1-2.1,ELM-TARI-A-02,1,"Murid mampu mengidentifikasi unsur utama tari meliputi gerak, ruang, tenaga, waktu, gerak di tempat dan gerak berpindah, serta mengemukakan pencapaian diri secara lisan, tulisan, dan kinestetik.",1,256
TP-TARI-1-3.1,ELM-TARI-A-03,1,"Murid mampu meragakan hasil gerak berdasarkan etika sebagai penampil dan penonton dengan keyakinan dan percaya diri saat mengekspresikan ide, perasaan kepada penonton atau lingkungan sekitar.",1,256
TP-TARI-1-4.1,ELM-TARI-A-04,1,"Murid mampu mengembangkan unsur utama tari (gerak, ruang, waktu, dan tenaga), gerak di tempat, dan gerak berpindah untuk membuat gerak sederhana yang memiliki kesatuan gerak yang indah.",1,256
TP-TARI-1-5.1,ELM-TARI-A-05,1,Murid mampu menerima proses pembelajaran sehingga tumbuh rasa ingin tahu dan dapat menunjukkan antusiasme yang berdampak pada kemampuan diri dalam menyelesaikan aktivitas pembelajaran tari.,1,256
TP-TARI-3-1.1,ELM-TARI-B-01,3,"Murid mampu mengamati bentuk penyajian tari berdasarkan latar belakang serta mengeksplorasi unsur utama tari sesuai level gerak, dan perubahan arah hadap.",1,257
TP-TARI-3-2.1,ELM-TARI-B-02,3,"Murid mampu mengidentifikasi unsur utama tari sesuai level gerak, dan perubahan arah hadap, serta menilai pencapaian diri saat melakukan aktivitas pembelajaran tari.",1,257
TP-TARI-3-3.1,ELM-TARI-B-03,3,Murid mampu meragakan hasil tari dengan bekerja secara kooperatif untuk mengembangkan kemampuan bekerja sama dan saling menghargai demi tercapainya tujuan bersama.,1,257
TP-TARI-3-4.1,ELM-TARI-B-04,3,"Murid mampu mengembangkan gerak dengan unsur utama tari, level, dan perubahan arah hadap.",1,257
TP-TARI-3-5.1,ELM-TARI-B-05,3,Murid mampu menerima proses pembelajaran sehingga tumbuh rasa ingin tahu dan dapat menunjukkan usaha yang berdampak pada kemampuan diri dalam menyelesaikan aktivitas pembelajaran tari.,1,257
TP-TARI-5-1.1,ELM-TARI-C-01,5,Murid mampu mengamati berbagai bentuk tari tradisi yang dapat digunakan untuk mengekspresikan diri melalui unsur pendukung tari.,1,257
TP-TARI-5-2.1,ELM-TARI-C-02,5,Murid mampu mengidentifikasi unsur pendukung tari dalam tari tradisi serta menghargai hasil pencapaian diri dengan mempertimbangkan pendapat orang lain.,1,257
TP-TARI-5-3.1,ELM-TARI-C-03,5,Murid mampu meragakan hasil rangkaian gerak tari menggunakan unsur pendukung tari dengan menunjukan kerja sama dan berperan aktif dalam kelompok.,1,257
TP-TARI-5-4.1,ELM-TARI-C-04,5,Murid mampu merangkai gerak tari yang berpijak pada tradisi/ kreasi dengan menerapkan desain kelompok.,1,257
TP-TARI-5-5.1,ELM-TARI-C-05,5,Murid mampu menanggapi kejadian-kejadian di lingkungan sekitar melalui tari yang disajikan kepada penonton atau masyarakat sekitar.,1,257
TP-TEATER-1-1.1,ELM-TEATER-A-01,1,"Murid mampu mengamati, merespons, meniru gerak tubuh dan suara sebagai media untuk mengomunikasikan emosi.",1,264
TP-TEATER-1-2.1,ELM-TEATER-A-02,1,Murid mampu mengenali pengalaman dan emosi selama proses berseni teater serta menceritakan sebuah karya dengan kosakata sehari-hari.,1,264
TP-TEATER-1-3.1,ELM-TEATER-A-03,1,Murid mampu mengenal jenis-jenis properti/alat bantu yang dapat mendukung cerita/permainan peran.,1,264
TP-TEATER-1-4.1,ELM-TEATER-A-04,1,"Murid mampu mengeksplorasi beragam peran mengenai tokoh di sekitar atau rekaan, dan memainkan sebuah lakon pertunjukan.",1,264
TP-TEATER-1-5.1,ELM-TEATER-A-05,1,Murid mampu memainkan gerak dan lagu sesuai arahan dari pendidik.,1,264
TP-TEATER-3-1.1,ELM-TEATER-B-01,3,"Murid mampu mengenal teknik dasar akting (pemeranan) melalui proses meniru (mimesis), mengenal gerak tubuh, suara/vokal sesuai tokoh/peran atau perilaku objek sekitar.",1,264
TP-TEATER-3-2.1,ELM-TEATER-B-02,3,Murid mampu mengenali lingkungan sekitarnya dan pengalaman dalam bermain teater.,1,264
TP-TEATER-3-3.1,ELM-TEATER-B-03,3,Murid mampu menggunakan properti yang sesuai dengan tokoh yang diperankan.,1,264
TP-TEATER-3-4.1,ELM-TEATER-B-04,3,"Murid mampu mengamati berbagai peran, mengenal tokoh di sekitar, dan memainkan sebuah lakon dalam cerita.",1,264
TP-TEATER-3-5.1,ELM-TEATER-B-05,3,Murid mampu mengenal bentuk lakon dalam bermain teater.,1,264
TP-TEATER-5-1.1,ELM-TEATER-C-01,5,"Murid mampu melakukan permainan peran berkelompok, seperti improvisasi untuk melatih aksi dan reaksi dalam mengelaborasi cerita atau tokoh dan melakukan pengenalan karakter melalui pengamatan kebiasaan tokoh yang diperankan.",1,265
TP-TEATER-5-2.1,ELM-TEATER-C-02,5,"Murid mampu menceritakan pendapatnya tentang sebuah cerita sederhana (penokohan, perwatakan).",1,265
TP-TEATER-5-3.1,ELM-TEATER-C-03,5,Murid mampu mengidentifikasi properti sederhana berdasarkan cerita yang akan dimainkan.,1,265
TP-TEATER-5-4.1,ELM-TEATER-C-04,5,Murid mampu mengenal dan memainkan ragam peran dari cerita sederhana berdasarkan hasil pengamatan.,1,265
TP-TEATER-5-5.1,ELM-TEATER-C-05,5,"Murid mampu memerankan lakon secara individu maupun berkelompok berdasarkan minat, pengamatan, dan pengalaman.",1,265
TP-PJOK-1-1.1,ELM-PJOK-A-01,1,Murid mampu mempraktikkan keterampilan gerak fundamental dan menerapkannya dalam berbagai situasi gerak yang berbeda,1,310
TP-PJOK-2-1.2,ELM-PJOK-A-01,2,Murid mampu mengeksplorasi berbagai strategi gerak,1,310
TP-PJOK-1-1.3,ELM-PJOK-A-01,1,Murid mampu dan mengeksplorasi berbagai konsep gerak serta menyimpulkan efektivitasnya.,2,310
TP-PJOK-1-2.1,ELM-PJOK-A-02,1,Murid mampu menaati peraturan untuk menumbuhkan fair play di dalam berbagai aktivitas jasmani,1,310
TP-PJOK-2-2.2,ELM-PJOK-A-02,2,Murid mampu menerapkan strategi kolaborasi ketika berpartisipasi dalam aktivitas jasmani.,1,310
TP-PJOK-1-3.1,ELM-PJOK-A-03,1,Murid mampu berpartisipasi di dalam berbagai aktivitas jasmani dan mengidentifikasi manfaatnya.,1,310
TP-PJOK-1-4.1,ELM-PJOK-A-04,1,Murid mampu mengenali gaya hidup aktif dan sehat,1,310
TP-PJOK-2-4.2,ELM-PJOK-A-04,2,Murid mampu mengenali manfaat komponen makanan bergizi seimbang,1,310
TP-PJOK-1-4.3,ELM-PJOK-A-04,1,Murid mampu serta mengenali situasi dan potensi yang berisiko terhadap kesehatan dan keselamatan serta strategi mencari bantuan kepada orang dewasa terpercaya.,2,310
TP-PJOK-3-1.1,ELM-PJOK-B-01,3,Murid mampu menghaluskan keterampilan gerak fundamental dan menerapkannya dalam situasi gerak yang baru,1,311
TP-PJOK-4-1.2,ELM-PJOK-B-01,4,Murid mampu menyesuaikan strategi gerak untuk mendapatkan capaian keterampilan gerak,1,311
TP-PJOK-3-1.3,ELM-PJOK-B-01,3,Murid mampu dan memperagakan berbagai konsep gerak yang dapat diterapkan dalam rangkaian gerak.,2,311
TP-PJOK-3-2.1,ELM-PJOK-B-02,3,Murid mampu menerapkan strategi gerak sederhana dan memecahkan masalah gerak,1,311
TP-PJOK-4-2.2,ELM-PJOK-B-02,4,Murid mampu menerapkan peraturan untuk menumbuhkan fair play di dalam berbagai aktivitas jasmani,1,311
TP-PJOK-3-2.3,ELM-PJOK-B-02,3,Murid mampu dan berpartisipasi secara positif dalam kelompok atau tim di dalam berbagai aktivitas jasmani.,2,311
TP-PJOK-3-3.1,ELM-PJOK-B-03,3,Murid mampu berpartisipasi dalam berbagai aktivitas jasmani dan mengenali faktor-faktor yang menyebabkan aktivitas jasmani menyenangkan.,1,311
TP-PJOK-3-4.1,ELM-PJOK-B-04,3,Murid mampu mengenali risiko kesehatan akibat gaya hidup dan berbagai aktivitas jasmani untuk pencegahannya,1,311
TP-PJOK-4-4.2,ELM-PJOK-B-04,4,Murid mampu mengidentifikasi pola makan sehat dan bergizi seimbang sesuai rekomendasi kesehatan untuk menunjang aktivitas sehari-hari,1,311
TP-PJOK-3-4.3,ELM-PJOK-B-04,3,Murid mampu dan mempraktikkan penanganan cedera ringan sesuai pemahaman tentang prinsip pertolongan pertama.,2,311
TP-PJOK-5-1.1,ELM-PJOK-C-01,5,Murid mampu menyesuaikan keterampilan gerak melintasi berbagai situasi gerak,1,312
TP-PJOK-6-1.2,ELM-PJOK-C-01,6,Murid mampu mentransfer strategi gerak yang sudah dikuasai ke dalam berbagai situasi gerak yang berbeda,1,312
TP-PJOK-5-1.3,ELM-PJOK-C-01,5,Murid mampu dan menginvestigasi berbagai konsep gerak yang dapat diterapkan untuk meningkatkan capaian keterampilan gerak,2,312
TP-PJOK-5-2.1,ELM-PJOK-C-02,5,Murid mampu menguji efektivitas penerapan strategi gerak dalam berbagai situasi gerak,1,312
TP-PJOK-6-2.2,ELM-PJOK-C-02,6,Murid mampu merancang peraturan alternatif dan modifikasi permainan untuk mendukung fair play dan partisipasi inklusif,1,312
TP-PJOK-5-2.3,ELM-PJOK-C-02,5,Murid mampu dan menjalankan berbagai peran untuk mencapai keberhasilan kelompok atau tim di dalam berbagai aktivitas jasmani.,2,312
TP-PJOK-5-3.1,ELM-PJOK-C-03,5,Murid mampu berpartisipasi dalam aktivitas jasmani dan menjelaskan pengaruh aktivitas jasmani yang teratur terhadap kesehatan,1,312
TP-PJOK-6-3.2,ELM-PJOK-C-03,6,Murid mampu mengidentifikasi rekomendasi aktivitas jasmani serta pencegahan perilaku sedenter.,1,312
TP-PJOK-5-4.1,ELM-PJOK-C-04,5,"Murid mampu mengidentifikasi dan menghubungkan antara gaya hidup, risiko kesehatan, dan aktivitas pencegahannya sesuai rekomendasi otoritas kesehatan",1,312
TP-PJOK-6-4.2,ELM-PJOK-C-04,6,Murid mampu menjelaskan pola makan sehat untuk menunjang aktivitas jasmani berdasarkan informasi kandungan gizi pada makanan,1,312
TP-PJOK-5-4.3,ELM-PJOK-C-04,5,Murid mampu dan mempraktikkan penanganan cedera sedang sesuai pemahaman tentang prinsip pertolongan pertama.,2,312
TP-KKA-5-1.1,ELM-KKA-C-01,5,"Murid mampu memahami permasalahan sederhana dalam kehidupan sehari-hari, menerapkan pemecahan masalah secara sistematis, serta menuliskan instruksi logis dan terstruktur menggunakan sekumpulan kosakata atau simbol.",1,342
TP-KKA-5-2.1,ELM-KKA-C-02,5,"Murid mampu memahami konsep dasar, manfaat, dan dampak teknologi digital, memahami sistem komputer tingkat pradasar, menerapkan pengamanan informasi pribadi dalam komunikasi daring, memanfaatkan internet, dan memproduksi serta mendiseminasi konten digital dalam bentuk teks dan gambar.",1,342
TP-KKA-5-3.1,ELM-KKA-C-03,5,"Murid mampu memahami konsep KA sederhana, manfaat dan dampak KA pada kehidupan sehari-hari, prinsip bahwa KA dikembangkan untuk meningkatkan kesejahteraan manusia dan tidak boleh merugikan manusia, mengetahui perbedaan manusia dan komputer dalam melakukan penginderaan, dan mengetahui perbedaan antara mesin cerdas dan mesin non-cerdas.",1,342
TP-KKA-6-3.2,ELM-KKA-C-03,6,Murid mampu memahami etika dasar penggunaan KA seperti empati dan tidak menyakiti orang lain.,1,342
TP-KKA-5-4.1,ELM-KKA-C-04,5,"Murid mampu menyimulasikan secara sederhana kerja KA saat mengenali pola, mengklasifikasi benda konkret berdasarkan sifatnya, dan mengetahui bagaimana prediksi sistem KA dipengaruhi input benda konkret.",1,342
